PI,PO,CI,CO,,,
34,33,43,28,,43.64912281,24.73684211
69,54,43,37,,,
69,54,22,22,,,
69,54,42,36,,,
69,54,38,32,,,
62,39,37,30,,,
48,36,20,11,,,
45,43,21,13,,,
52,50,45,40,,,
52,50,56,51,,,
52,50,53,40,,,
52,50,25,16,,,
54,29,32,14,,,
61,50,36,15,,,
38,32,20,18,,,
60,52,34,26,,,
54,54,60,52,,,
54,54,58,14,,,
43,36,34,21,,,
66,63,34,20,,,
66,63,36,33,,,
56,40,28,20,,,
43,38,25,16,,,
46,22,20,14,,,
54,40,34,30,,,
51,48,24,22,,,
62,61,51,48,,,
62,61,47,33,,,
68,56,40,17,,,
68,56,36,8,,,
66,57,43,26,,,
66,57,54,31,,,
54,31,31,21,,,
63,35,35,24,,,
63,35,28,20,,,
45,45,35,27,,,
45,45,30,28,,,
56,25,32,13,,,
61,30,35,33,,,
61,30,37,28,,,
37,28,14,12,,,
59,45,40,22,,,
59,45,35,27,,,
56,44,29,26,,,
60,36,30,16,,,
63,59,42,36,,,
66,45,23,22,,,
57,51,33,22,,,
72,58,50,26,,,
61,55,35,34,,,
61,55,28,27,,,
59,54,33,30,,,
33,30,11,11,,,
62,26,36,18,,,
50,39,26,16,,,
44,27,21,21,,,
57,43,30,29,,,
69,34,44,34,,,
62,53,40,35,,,
62,53,32,20,,,
37,28,13,11,,,
46,28,19,16,,,
47,44,29,26,,,
72,50,41,31,,,
58,58,44,32,,,
44,32,13,13,,,
45,29,35,18,,,
44,28,16,14,,,
51,32,27,21,,,
53,32,26,17,,,
57,52,30,22,,,
57,52,23,18,,,
39,25,25,15,,,
65,58,33,31,,,
65,58,34,32,,,
46,28,19,17,,,
56,49,46,28,,,
56,49,17,17,,,
58,55,32,24,,,
58,55,27,23,,,
60,25,52,26,,,
60,25,57,29,,,
60,25,53,27,,,
69,68,44,33,,,
29,29,33,31,,,
42,42,39,26,,,
55,48,36,19,,,
53,36,21,16,,,
41,20,19,16,,,
58,32,29,27,,,
70,66,38,28,,,
70,66,43,32,,,
70,66,41,39,,,
59,35,34,16,,,
27,17,25,16,,,
51,49,18,13,,,
32,30,51,49,,,
75,42,41,19,,,
68,57,38,28,,,
54,21,26,17,,,
41,35,27,27,,,
41,38,29,23,,,
52,38,27,19,,,
47,40,26,14,,,
43,42,34,33,,,
55,54,47,33,,,
51,51,27,21,,,
60,58,51,51,,,
60,58,55,52,,,
62,55,38,36,,,
62,55,26,26,,,
47,45,12,12,,,
37,37,17,16,,,
37,37,13,12,,,
